enrollment_no,name,email,contact_no,department,semester
BCA-101,Aarav Sharma,aarav.sharma@gmail.com,9876543201,BCA,1
BCA-102,Aditi Verma,aditi.verma@gmail.com,9876543202,BCA,1
BCA-103,Advait Gupta,advait.gupta@gmail.com,9876543203,BCA,1
BCA-104,Akshara Rao,akshara.rao@gmail.com,9876543204,BCA,1
BCA-105,Arjun Kapoor,arjun.kapoor@gmail.com,9876543205,BCA,1
BCA-106,Avani Patel,avani.patel@gmail.com,9876543206,BCA,2
BCA-107,Bhavin Mehta,bhavin.mehta@gmail.com,9876543207,BCA,2
BCA-108,Diya Nair,diya.nair@gmail.com,9876543208,BCA,2
BCA-109,Ishaan Malhotra,ishaan.malhotra@gmail.com,9876543209,BCA,2
BCA-110,Isha Singh,isha.singh@gmail.com,9876543210,BCA,2
BCA-111,Kabir Joshi,kabir.joshi@gmail.com,9876543211,BCA,3
BCA-112,Kavya Reddy,kavya.reddy@gmail.com,9876543212,BCA,3
BCA-113,Krishna Iyer,krishna.iyer@gmail.com,9876543213,BCA,3
BCA-114,Meera Desai,meera.desai@gmail.com,9876543214,BCA,3
BCA-115,Nakul Bhat,nakul.bhat@gmail.com,9876543215,BCA,3
BCA-116,Navya Agarwal,navya.agarwal@gmail.com,9876543216,BCA,4
BCA-117,Parth Saxena,parth.saxena@gmail.com,9876543217,BCA,4
BCA-118,Ria Mukherji,ria.mukherji@gmail.com,9876543218,BCA,4
BCA-119,Rohan Kulkarni,rohan.kulkarni@gmail.com,9876543219,BCA,4
BCA-120,Saanvi Choudhury,saanvi.choudhury@gmail.com,9876543220,BCA,4
BCA-121,Samarth Gill,samarth.gill@gmail.com,9876543221,BCA,5
BCA-122,Sara Khan,sara.khan@gmail.com,9876543222,BCA,5
BCA-123,Shaurya Pandey,shaurya.pandey@gmail.com,9876543223,BCA,5
BCA-124,Siya Banerjee,siya.banerjee@gmail.com,9876543224,BCA,5
BCA-125,Tanvi Dubey,tanvi.dubey@gmail.com,9876543225,BCA,5
BCA-126,Utkarsh Misra,utkarsh.misra@gmail.com,9876543226,BCA,6
BCA-127,Vaidehi Thakur,vaidehi.thakur@gmail.com,9876543227,BCA,6
BCA-128,Veer Pratap,veer.pratap@gmail.com,9876543228,BCA,6
BCA-129,Yashwardhan Goel,yashwardhan.goel@gmail.com,9876543229,BCA,6
BCA-130,Zara Sheikh,zara.sheikh@gmail.com,9876543230,BCA,6
