enrollment_no,name,email,contact_no,department,semester
BCA101,Deepak Gupta,deepak.gupta.BCA101@student.com,8219772353,BCA,1
BCA102,Chaitanya Nair,chaitanya.nair.BCA102@student.com,6912610729,BCA,1
BCA103,Meera Bose,meera.bose.BCA103@student.com,7418830661,BCA,1
BCA104,Vihaan Nair,vihaan.nair.BCA104@student.com,8502113232,BCA,1
BCA105,Ananya Sharma,ananya.sharma.BCA105@student.com,7680386300,BCA,1
BCA106,Arjun Singh,arjun.singh.BCA106@student.com,8632359876,BCA,1
BCA107,Riya Kulkarni,riya.kulkarni.BCA107@student.com,8021334793,BCA,1
BCA108,Tara Kulkarni,tara.kulkarni.BCA108@student.com,8352929263,BCA,1
BCA109,Khevna Singh,khevna.singh.BCA109@student.com,8554912393,BCA,1
BCA110,Vivaan Prajapati,vivaan.prajapati.BCA110@student.com,8361637854,BCA,1
BCA111,Esha Mishra,esha.mishra.BCA111@student.com,8490030875,BCA,1
BCA112,Gautam Gupta,gautam.gupta.BCA112@student.com,8693871809,BCA,1
BCA113,Akash Malhotra,akash.malhotra.BCA113@student.com,8452214334,BCA,1
BCA114,Pranav Rao,pranav.rao.BCA114@student.com,6046062466,BCA,1
BCA115,Gautam Deshmukh,gautam.deshmukh.BCA115@student.com,6574219214,BCA,1
BCA116,Diya Rao,diya.rao.BCA116@student.com,6100862043,BCA,1
BCA117,Deepak Deshmukh,deepak.deshmukh.BCA117@student.com,8472756324,BCA,1
BCA118,Deepak Prajapati,deepak.prajapati.BCA118@student.com,6799913891,BCA,1
BCA119,Deepak Singh,deepak.singh.BCA119@student.com,6047792842,BCA,1
BCA120,Diya Pandey,diya.pandey.BCA120@student.com,7131209726,BCA,1
BCA121,Esha Sharma,esha.sharma.BCA121@student.com,6442557816,BCA,1
BCA122,Aarav Pandey,aarav.pandey.BCA122@student.com,8050234606,BCA,1
BCA123,Esha Modi,esha.modi.BCA123@student.com,6556331259,BCA,1
BCA124,Meera Deshmukh,meera.deshmukh.BCA124@student.com,7053939424,BCA,1
BCA125,Arjun Kulkarni,arjun.kulkarni.BCA125@student.com,7639618696,BCA,1
BCA126,Krishna Sharma,krishna.sharma.BCA126@student.com,6220728518,BCA,1
BCA127,Vivaan Rao,vivaan.rao.BCA127@student.com,6546092187,BCA,1
BCA128,Diya Gupta,diya.gupta.BCA128@student.com,8928207261,BCA,1
BCA129,Aditya Verma,aditya.verma.BCA129@student.com,7748082221,BCA,1
BCA130,Gautam Kapoor,gautam.kapoor.BCA130@student.com,7622418689,BCA,1
BCA201,Saanvi Singh,saanvi.singh.BCA201@student.com,8345142000,BCA,2
BCA202,Advait Yadav,advait.yadav.BCA202@student.com,7726614346,BCA,2
BCA203,Parth Verma,parth.verma.BCA203@student.com,7273145083,BCA,2
BCA204,Parth Deshmukh,parth.deshmukh.BCA204@student.com,7920356218,BCA,2
BCA205,Isha Singh,isha.singh.BCA205@student.com,6517855845,BCA,2
BCA206,Tara Rao,tara.rao.BCA206@student.com,7174569644,BCA,2
BCA207,Bhavya Iyer,bhavya.iyer.BCA207@student.com,6006240562,BCA,2
BCA208,Deepak Bose,deepak.bose.BCA208@student.com,6533893377,BCA,2
BCA209,Gautam Reddy,gautam.reddy.BCA209@student.com,8608094066,BCA,2
BCA210,Esha Bose,esha.bose.BCA210@student.com,6772094657,BCA,2
BCA211,Rohan Verma,rohan.verma.BCA211@student.com,6689654765,BCA,2
BCA212,Advait Kapoor,advait.kapoor.BCA212@student.com,8581319508,BCA,2
BCA213,Esha Jain,esha.jain.BCA213@student.com,6645016853,BCA,2
BCA214,Riya Patel,riya.patel.BCA214@student.com,6058427824,BCA,2
BCA215,Tara Rao,tara.rao.BCA215@student.com,7671249451,BCA,2
BCA216,Bhavya Singh,bhavya.singh.BCA216@student.com,6510232110,BCA,2
BCA217,Rohan Prajapati,rohan.prajapati.BCA217@student.com,7278817036,BCA,2
BCA218,Vivaan Patel,vivaan.patel.BCA218@student.com,8884720560,BCA,2
BCA219,Siddharth Pandey,siddharth.pandey.BCA219@student.com,8484202861,BCA,2
BCA220,Ishani Yadav,ishani.yadav.BCA220@student.com,7280604110,BCA,2
BCA221,Advait Mehta,advait.mehta.BCA221@student.com,8210351409,BCA,2
BCA222,Esha Nair,esha.nair.BCA222@student.com,7821784419,BCA,2
BCA223,Diya Kapoor,diya.kapoor.BCA223@student.com,8877402538,BCA,2
BCA224,Aditya Kapoor,aditya.kapoor.BCA224@student.com,7074788965,BCA,2
BCA225,Riya Bose,riya.bose.BCA225@student.com,6651140432,BCA,2
BCA226,Advait Kapoor,advait.kapoor.BCA226@student.com,8271476629,BCA,2
BCA227,Krishna Kapoor,krishna.kapoor.BCA227@student.com,7546994770,BCA,2
BCA228,Rohan Jain,rohan.jain.BCA228@student.com,7041185424,BCA,2
BCA229,Rohan Mishra,rohan.mishra.BCA229@student.com,6358728044,BCA,2
