enrollment_no,name,email,contact_no,department,semester
MBA-101,Devansh Singhania,devansh.s@gmail.com,9122334401,MBA,1
MBA-102,Shanaya Mittal,shanaya.m@gmail.com,9122334402,MBA,1
MBA-103,Hrithik Bajaj,hrithik.b@gmail.com,9122334403,MBA,1
MBA-104,Kiara Malhotra,kiara.m@gmail.com,9122334404,MBA,1
MBA-105,Ranveer Oberoi,ranveer.o@gmail.com,9122334405,MBA,1
MBA-106,Deepika Roy,deepika.r@gmail.com,9122334406,MBA,2
MBA-107,Siddharth Anand,siddharth.a@gmail.com,9122334407,MBA,2
MBA-108,Kriti Vats,kriti.v@gmail.com,9122334408,MBA,2
MBA-109,Varun Chopra,varun.c@gmail.com,9122334409,MBA,2
MBA-110,Alaya Sen,alaya.s@gmail.com,9122334410,MBA,2
MBA-111,Ishaan Wadhwa,ishaan.w@gmail.com,9122334411,MBA,3
MBA-112,Janhvi Mistry,janhvi.m@gmail.com,9122334412,MBA,3
MBA-113,Ananya Srivastav,ananya.s@gmail.com,9122334413,MBA,3
MBA-114,Sara Siddiqui,sara.s@gmail.com,9122334414,MBA,3
MBA-115,Kartik Rathore,kartik.r@gmail.com,9122334415,MBA,3
MBA-116,Tara Dsouza,tara.d@gmail.com,9122334416,MBA,4
MBA-117,Vicky Mehra,vicky.m@gmail.com,9122334417,MBA,4
MBA-118,Katrina Parekh,katrina.p@gmail.com,9122334418,MBA,4
MBA-119,Ranbir Khanna,ranbir.k@gmail.com,9122334419,MBA,4
MBA-120,Alia Shah,alia.s@gmail.com,9122334420,MBA,4
